Name,Download
libtcl8.6,286
libidn12,285
libmbedcrypto7,284
libnotify4,284
libv4lconvert0,284
libwavpack1,284
libxcb-xkb1,284
libdaemon0,283
libfile-listing-perl,283
libsdl2-2.0-0,283
libv4l-0,283
xfonts-utils,283
libgl-dev,282
systemd-resolved,282
libnet-http-perl,281
libsndio7.0,280
avahi-daemon,279
libnorm1,279
libc6-armhf-cross,278
libharfbuzz-subset0,278
libhttp-cookies-perl,278
libhttp-negotiate-perl,278
libwww-robotrules-perl,278
libc6-armel-cross,277
libpgm-5.3-0,277
libhtml-template-perl,276
libhtml-tree-perl,276
liblwp-protocol-https-perl,276
libopeniscsiusr,276
x11-xkb-utils,276
libxencall1,275
libwww-perl,274
libharfbuzz-icu0,273
libhdf5-103-1,273
linux-image-6.1.0-26-rt-amd64,273
libssl-dev,272
libxfixes-dev,272
librte-bus-vdev23,271
libxkbcommon-x11-0,271
libc6-x32-i386-cross,270
libcjson1,270
libclang-cpp15,270
libonig5,270
libusbredirparser1,270
libxenstore4,270
libzmq5,270
pv,270
git-email,269
libnss-mdns,269
librte-rcu23,269
libxenhypfs1,269
libxml2-utils,269
libdata-dump-perl,268
libsecret-common,268
libxendevicemodel1,268
libxenevtchn1,268
libxenforeignmemory1,268
libxengnttab1,268
libcacard0,267
libfont-afm-perl,267
libhtml-form-perl,267
libsnmp-base,267
python3-jinja2,267
libblockdev-utils2,266
libsecret-1-0,266
open-iscsi,266
libgdk-pixbuf-2.0-dev,265
libgif7,265
libiscsi7,265
libxenmisc4.17,265
kpartx,264
libhttp-daemon-perl,264
lib64gcc-s1-i386-cross,263
libclang-common-15-dev,263
libsnmp40,263
python3-cairo,263
libcanberra0,262
libchromaprint1,262
libgcc-s1-arm64-cross,262
libhtml-format-perl,262
libxfce4util-common,262
libclang1-15,261
libgme0,261
libsrt1.5-gnutls,261
libxfce4util7,261
libxmlsec1-openssl,261
cloud-guest-utils,260
libgcc-s1-armhf-cross,260
qemu-block-extra,260
libgcc-s1-armel-cross,259
libopenmpt0,259
libxcb-render-util0,259
libxxf86dga1,259
linux-image-6.1.0-26-imx-arm64,259
libboost-filesystem1.74.0,258
libquadmath0-i386-cross,258
libatomic1-i386-cross,257
libdbus-1-dev,257
libgcc-s1-ppc64el-cross,257
libpq5,257
libxcb-image0,257
libxcb-keysyms1,257
sound-theme-freedesktop,257
libxcb-icccm4,256
libxfce4util-bin,256
libgck-1-0,255
libpcre3,255
libstdc++6-i386-cross,255
libgomp1-i386-cross,254
libitm1-i386-cross,254
librist4,254
libssh-gcrypt-4,254
clang-15,253
libcurl3-nss,253
linux-image-6.1.0-28-imx-arm64,253
libjq1,252
libegl-dev,251
libsoup2.4-common,251
libubsan1-i386-cross,251
llvm-15-linker-tools,251
grub2,250
libdatrie-dev,250
libvirt-daemon-driver-qemu,250
libxi-dev,250
libhdf5-hl-100,249
libmd4c0,249
x11-utils,249
xserver-xorg-core,249
libavformat59,248
libc6-i386-amd64-cross,248
libgraphite2-dev,248
libharfbuzz-gobject0,248
libxfont2,248
jq,247
libatomic1-s390x-cross,247
libvirt-daemon,247
libx32gcc-s1-i386-cross,247
libxcvt0,247
x11-xserver-utils,247
libatk1.0-dev,246
libc6-s390-s390x-cross,246
libvirt-daemon-driver-lxc,246
libvirt-daemon-driver-xen,246
gir1.2-atspi-2.0,245
libgles1,245
libgusb2,245
libpython3.11-dev,245
libsoup2.4-1,245
libstdc++6-s390x-cross,245
libxrandr-dev,245
mariadb-server,245
libfribidi-dev,244
libgomp1-s390x-cross,244
libharfbuzz-dev,244
libitm1-s390x-cross,244
libminizip1,244
libqt5dbus5,244
libxft-dev,244
python-babel-localedata,244
xcvt,244
libgcr-base-3-1,243
libpoppler-glib8,243
libprotobuf32,243
libthai-dev,243
python3-gi-cairo,243
libayatana-appindicator3-1,242
libopengl-dev,242
libstartup-notification0,242
m4,242
libqt5network5,241
libubsan1-s390x-cross,241
python3-babel,241
libxcb-xinerama0,240
appstream,239
gir1.2-gstreamer-1.0,239
ipxe-qemu,239
libexecs0,239
libpango1.0-dev,239
libxcb-xinput0,239
libgles-dev,238
libxcomposite-dev,238
libxdamage-dev,238
llvm-14,238
llvm-14-dev,238
pango1.0-tools,238
tasksel-data,238
libcapstone4,237
libgs-common,237
libqt5gui5,237
libsigc++-2.0-0v5,237
libwebrtc-audio-processing1,237
dracut-core,236
libspice-server1,236
mariadb-plugin-provider-bzip2,236
mariadb-plugin-provider-lz4,236
mariadb-plugin-provider-lzma,236
mariadb-plugin-provider-lzo,236
mariadb-plugin-provider-snappy,236
libxinerama-dev,235
libc6-dev-amd64-cross,234
libntfs-3g89,234
libxcursor-dev,234
update-inetd,234
libapache2-mod-php,233
libpython3-dev,233
xfonts-base,233
xserver-common,233
libpaper1,232
libvdeplug2,232
libvirglrenderer1,232
libxml-parser-perl,232
linux-image-cloud-amd64,232
linux-libc-dev-amd64-cross,232
nginx-common,232
python3.11-dev,232
qemu-system-data,232
libproj25,231
php8.2-common,231
cryptsetup,230
libgtksourceview-4-common,230
libimath-3-1-29,230
php,230
qemu-system-common,230
qemu-system-gui,230
qemu-system-x86,230
autoconf,229
libgs10-common,229
librte-hash23,229
libvirt-daemon-driver-vbox,229
libxklavier16,229
seabios,229
fonts-noto-mono,228
libc6-x32-amd64-cross,228
libnss-mymachines,228
librpmio9,228
nginx,228
ntfs-3g,228
lib32gcc-s1-s390x-cross,227
lib64quadmath0-i386-cross,227
lib64stdc++6-i386-cross,227
libblockdev-part-err2,227
libieee1284-3,227
libsane-common,227
libwayland-bin,227
proj-data,227
libvirt-clients,226
libatasmart4,225
libgtksourceview-4-0,225
librte-cryptodev23,225
libtpms0,225
libmunge2,224
libparted-fs-resize0,224
libwayland-dev,224
php-mysql,224
lib64atomic1-i386-cross,223
lib64gomp1-i386-cross,223
lib64itm1-i386-cross,223
lib64ubsan1-i386-cross,223
libevent-pthreads-2.1-7,223
libpaper-utils,223
python3-dev,223
exfatprogs,222
ispell,222
